sku,product_name,product_name_ar,price,processed_product_name,processed_product_name_ar,combined_master_name,master_dosage,master_form
279,ANAFRONIL 75 MG 20 TAB,انافرونيل 75 مجم اس ار 20 قرص,75.0,anafronil 75 mg 20 tablet,انافرونيل 75 mg اس ار 20 tablet,انافرونيل 75 مجم اس ار 20 قرص ANAFRONIL 75 MG 20 TAB,75MG,
2282,LOPRECOUGH SYRUP 100 ML,لوبريكاف شراب 100 مل,28.5,loprecough syrup 100 ml,لوبريكاف syrup 100 ml,لوبريكاف شراب 100 مل LOPRECOUGH SYRUP 100 ML,100ML,SYRUP
4331,TOMEX PLUS 50 TAB,تومكس بلس 50 قرص,60.0,tomex plus 50 tablet,تومكس بلس 50 tablet,تومكس بلس 50 قرص TOMEX PLUS 50 TAB,,
1022,TAROLIMUS 0.03% OINT. 15 GM,تاروليمس 0.03 % مرهم 15 جم,129.0,tarolimus 003% oint 15 gm,تاروليمس 003 % ointment 15 g,تاروليمس 0.03 % مرهم 15 جم TAROLIMUS 0.03% OINT. 15 GM,0.03%,
116,GLIPTUS PLUS 50/1000 MG 30 TAB,جليبتس بلس 50/1000 مجم 30 قرص,192.0,gliptus plus 501000 mg 30 tablet,جليبتس بلس 501000 mg 30 tablet,جليبتس بلس 50/1000 مجم 30 قرص GLIPTUS PLUS 50/1000 MG 30 TAB,1000MG,
219,DALACIN C 300 MG 10 CAP,دالاسين سي 300 مجم 10 كبسول,78.5,dalacin c 300 mg 10 capsule,دالاسين سي 300 mg 10 كبسول,دالاسين سي 300 مجم 10 كبسول DALACIN C 300 MG 10 CAP,300MG,
230,BI PROFENID S.R 150 MG 20 TAB,باي-بروفينيد 150 مجم 20 قرص,37.0,bi profenid sr 150 mg 20 tablet,بايبروفينيد 150 mg 20 tablet,باي-بروفينيد 150 مجم 20 قرص BI PROFENID S.R 150 MG 20 TAB,150MG,
243,BI-KETOGESIC 150 MG 30 TAB,باي-كيتوجيسيك 150 مجم 30 قرص,81.0,biketogesic 150 mg 30 tablet,بايكيتوجيسيك 150 mg 30 tablet,باي-كيتوجيسيك 150 مجم 30 قرص BI-KETOGESIC 150 MG 30 TAB,150MG,
247,PROTOFIX 40 MG 14 TAB,بروتوفيكس 40 مجم 14 قرص,80.0,protofix 40 mg 14 tablet,بروتوفيكس 40 mg 14 tablet,بروتوفيكس 40 مجم 14 قرص PROTOFIX 40 MG 14 TAB,40MG,
359,ARTHROFAST MR 150 MG 14 TAB,ارثروفاست 150 مجم 14 قرص,83.0,arthrofast mr 150 mg 14 tablet,ارثروفاست 150 mg 14 tablet,ارثروفاست 150 مجم 14 قرص ARTHROFAST MR 150 MG 14 TAB,150MG,
366,ARTHFREE 20 MG 30 TAB,ارث فرى 20 مجم 30 قرص,261.0,arthfree 20 mg 30 tablet,ارث فرى 20 mg 30 tablet,ارث فرى 20 مجم 30 قرص ARTHFREE 20 MG 30 TAB,20MG,
1348,ANAFRONIL 25 MG 30 TAB,انافرونيل 25 مجم 30 قرص,45.0,anafronil 25 mg 30 tablet,انافرونيل 25 mg 30 tablet,انافرونيل 25 مجم 30 قرص ANAFRONIL 25 MG 30 TAB,25MG,
446,FLECTOR 50 MG 30 CAP,فليكتور 50 مجم 30 كبسول,87.0,flector 50 mg 30 capsule,فليكتور 50 mg 30 كبسول,فليكتور 50 مجم 30 كبسول FLECTOR 50 MG 30 CAP,50MG,
1436,DEPAKINE 200 MG/ML ORAL SOLUTION 40 ML,ديباكين 200 مجم / مل محلول بالفم 40 مل,34.0,depakine 200 mg ml oral solution 40 ml,ديباكين 200 mg ml solution بالفم 40 ml,ديباكين 200 مجم / مل محلول بالفم 40 مل DEPAKINE 200 MG/ML ORAL SOLUTION 40 ML,200MG,SOLUTION
590,PANTAZOL 40 MG 14 TAB,بانتازول 40 مجم 14 قرص,104.0,pantazol 40 mg 14 tablet,بانتازول 40 mg 14 tablet,بانتازول 40 مجم 14 قرص PANTAZOL 40 MG 14 TAB,40MG,
874,ATACAND 8 MG 14 TAB,اتاكاند 8 مجم 14 قرص,83.0,atacand 8 mg 14 tablet,اتاكاند 8 mg 14 tablet,اتاكاند 8 مجم 14 قرص ATACAND 8 MG 14 TAB,8MG,
